Medidor,Consumo (kW),Anio,Mes
11001,227,2020,1
11002,542,2020,1
11003,42,2020,1
11004,863,2020,1
11005,670,2020,1
11006,959,2020,1
11007,419,2020,1
11008,345,2020,1
11009,280,2020,1
11010,952,2020,1
11011,228,2020,1
11012,970,2020,1
11013,416,2020,1
11014,813,2020,1
11015,558,2020,1
11001,508,2020,2
11002,528,2020,2
11003,197,2020,2
11004,524,2020,2
11005,584,2020,2
11006,407,2020,2
11007,955,2020,2
11008,435,2020,2
11009,191,2020,2
11010,33,2020,2
11011,597,2020,2
11012,167,2020,2
11013,728,2020,2
11014,46,2020,2
11015,850,2020,2
11001,145,2020,3
11002,564,2020,3
11003,866,2020,3
11004,498,2020,3
11005,629,2020,3
11006,134,2020,3
11007,486,2020,3
11008,146,2020,3
11009,112,2020,3
11010,177,2020,3
11011,317,2020,3
11012,518,2020,3
11013,869,2020,3
11014,250,2020,3
11015,240,2020,3
